ds,yhat,yhat_lower,yhat_upper
2023-08-23,231.6001974984442,217.95132935758818,244.67417784607792
2023-08-24,231.35061357863847,218.8990841253754,243.52074042522767
2023-08-25,231.56677186562013,217.93183603098902,245.4554268149162
2023-08-26,230.2603324742627,216.46785490204184,243.54409710700165
2023-08-27,226.93521458915194,213.32560335073893,240.70302531406202
2023-08-28,230.00017172306846,216.47392009254935,243.4205661864531
2023-08-29,231.47378530242634,218.4862005188755,244.54533215580756
2023-08-30,231.84724958779643,218.89872968171423,245.82883297945617
2023-08-31,231.70599067893738,217.68698249005539,245.30703689221858
2023-09-01,232.03067519539454,217.30448740005116,245.3188800697467
2023-09-02,230.82402480270773,216.5825772037439,245.17330785058655
2023-09-03,227.58274520566903,213.8585790024524,241.0711209011595
2023-09-04,230.7170695216734,218.33174999633437,244.30332508207684
2023-09-05,232.2328262569666,219.31038491558544,244.69728566625253
2023-09-06,232.61709534364522,219.32303072932396,245.79653840718342
2023-09-07,232.45230377669407,217.9084121879569,245.00693162450224
2023-09-08,232.71761032375096,218.5971778692336,245.85383165467715
2023-09-09,231.41270959634159,218.36785712084034,244.835169638797
2023-09-10,228.03387891725302,214.25305301944434,241.24737326765438
2023-09-11,231.00029157076477,217.31028583342038,243.82979126020393
2023-09-12,232.31294446557837,219.36514225148187,246.3409786175556
2023-09-13,232.46296021224296,218.13823752178234,245.19272629416793
2023-09-14,232.0379302515605,219.50111422308274,245.4809159915623
2023-09-15,232.02344872868824,218.78324383773003,245.52811209796363
2023-09-16,230.42368771713257,215.75457486767147,244.54657389295812
2023-09-17,226.74135792173678,212.95672680380068,240.18593440701292
2023-09-18,229.41060752629033,216.83150215475882,242.6214995255845
2023-09-19,230.4326498056178,217.66592037667513,244.60962581183426
2023-09-20,230.30658008517634,216.69360249417042,244.15354209311673
2023-09-21,229.6278669675404,216.055481936481,243.11887531225443
2023-09-22,229.38997000146395,215.64890357944063,242.33236740338384
2023-09-23,227.60165599385144,213.59128912682652,241.16503070696825
2023-09-24,223.77087906965323,210.9090145059595,236.85366346497938
2023-09-25,226.34430551295634,212.77785831485778,241.14220334347687
2023-09-26,227.31971493196903,214.32796883552973,241.07634947358412
2023-09-27,227.19943634930328,213.95938230273222,239.88741053236367
2023-09-28,226.58111904999257,214.280324348391,239.5683648341654
2023-09-29,226.45958877539175,212.28435342931226,239.57983715437032
2023-09-30,224.84107841911612,211.0426181792385,239.28645354843238
2023-10-01,221.2312142361341,207.51074464963347,234.5982636491738
2023-10-02,224.0813616187917,210.13561563912657,237.02887298101135
2023-10-03,225.37799743749724,211.89380024786365,239.38716017536817
2023-10-04,225.61896013703767,212.20420631893765,240.3637902391436
2023-10-05,225.39668709818298,211.47064172560593,239.24327561450662
2023-10-06,225.70048336922844,212.9828228638914,240.02790095594543
2023-10-07,224.52782345745845,211.29073598360097,237.70266304245635
